continent,date,cases,deaths,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
Africa,12/31/2019,0.0,0.0,0.0
Africa,01/01/2020,0.0,0.0,0.0
Africa,01/02/2020,0.0,0.0,0.0
Africa,01/03/2020,0.0,0.0,0.0
Africa,01/04/2020,0.0,0.0,0.0
Africa,01/05/2020,0.0,0.0,0.0
Africa,01/06/2020,0.0,0.0,0.0
Africa,01/07/2020,0.0,0.0,0.0
Africa,01/08/2020,0.0,0.0,0.0
Africa,01/09/2020,0.0,0.0,0.0
Africa,01/10/2020,0.0,0.0,0.0
Africa,01/11/2020,0.0,0.0,0.0
Africa,01/12/2020,0.0,0.0,0.0
Africa,01/13/2020,0.0,0.0,0.0
Africa,01/14/2020,0.0,0.0,0.0
Africa,01/15/2020,0.0,0.0,0.0
Africa,01/16/2020,0.0,0.0,0.0
Africa,01/17/2020,0.0,0.0,0.0
Africa,01/18/2020,0.0,0.0,0.0
Africa,01/19/2020,0.0,0.0,0.0
Africa,01/20/2020,0.0,0.0,0.0
Africa,01/21/2020,0.0,0.0,0.0
Africa,01/22/2020,0.0,0.0,0.0
Africa,01/23/2020,0.0,0.0,0.0
Africa,01/24/2020,0.0,0.0,0.0
Africa,01/25/2020,0.0,0.0,0.0
Africa,01/26/2020,0.0,0.0,0.0
Africa,01/27/2020,0.0,0.0,0.0
Africa,01/28/2020,0.0,0.0,0.0
Africa,01/29/2020,0.0,0.0,0.0
Africa,01/30/2020,0.0,0.0,0.0
Africa,01/31/2020,0.0,0.0,0.0
Africa,02/01/2020,0.0,0.0,0.0
Africa,02/02/2020,0.0,0.0,0.0
Africa,02/03/2020,0.0,0.0,0.0
Africa,02/04/2020,0.0,0.0,0.0
Africa,02/05/2020,0.0,0.0,0.0
Africa,02/06/2020,0.0,0.0,0.0
Africa,02/07/2020,0.0,0.0,0.0
Africa,02/08/2020,0.0,0.0,0.0
Africa,02/09/2020,0.0,0.0,0.0
Africa,02/10/2020,0.0,0.0,0.0
Africa,02/11/2020,0.0,0.0,0.0
Africa,02/12/2020,0.0,0.0,0.0
Africa,02/13/2020,0.0,0.0,0.0
Africa,02/14/2020,0.0,0.0,0.0
Africa,02/15/2020,1.0,0.0,0.00099613
Africa,02/16/2020,0.0,0.0,0.00099613
Africa,02/17/2020,0.0,0.0,0.00099613
Africa,02/18/2020,0.0,0.0,0.00099613
Africa,02/19/2020,0.0,0.0,0.00099613
Africa,02/20/2020,0.0,0.0,0.00099613
Africa,02/21/2020,0.0,0.0,0.00099613
Africa,02/22/2020,0.0,0.0,0.00099613
Africa,02/23/2020,0.0,0.0,0.00099613
Africa,02/24/2020,0.0,0.0,0.00099613
Africa,02/25/2020,0.0,0.0,0.00099613
Africa,02/26/2020,1.0,0.0,0.00331885
Africa,02/27/2020,0.0,0.0,0.00331885
Africa,02/28/2020,1.0,0.0,0.00381645
Africa,02/29/2020,0.0,0.0,0.00282032
Africa,03/01/2020,2.0,0.0,0.00746575
Africa,03/02/2020,1.0,0.0,0.008461880000000001
Africa,03/03/2020,3.0,0.0,0.0
Africa,03/04/2020,2.0,0.0,0.01161358
Africa,03/05/2020,9.0,0.0,0.02787259
Africa,03/06/2020,9.0,0.0,0.04147844
Africa,03/07/2020,14.0,0.0,0.01394588
Africa,03/08/2020,1.0,0.0,0.0
Africa,03/09/2020,39.0,1.0,0.09426875
Africa,03/10/2020,12.0,0.0,0.05478646
Africa,03/11/2020,10.0,0.0,0.05777579
Africa,03/12/2020,13.0,1.0,0.10522623
Africa,03/13/2020,41.0,2.0,0.1367625
Africa,03/14/2020,43.0,1.0,0.15203496
Africa,03/15/2020,37.0,1.0,0.17858004
Africa,03/16/2020,85.0,2.0,0.21874147
Africa,03/17/2020,78.0,0.0,0.25790678
Africa,03/18/2020,92.0,4.0,0.30289518000000004
Africa,03/19/2020,139.0,4.0,0.36313980999999995
Africa,03/20/2020,111.0,1.0,0.413253
Africa,03/21/2020,231.0,7.0,0.8380207
Africa,03/22/2020,201.0,11.0,1.5123398900000002
Africa,03/23/2020,213.0,9.0,2.52168008
Africa,03/24/2020,349.0,8.0,3.05369152
Africa,03/25/2020,465.0,12.0,3.73517907
Africa,03/26/2020,487.0,8.0,5.745651710000001
Africa,03/27/2020,588.0,12.0,8.07693152
Africa,03/28/2020,526.0,19.0,18.975560230000003
Africa,03/29/2020,320.0,21.0,17.87203483
Africa,03/30/2020,505.0,19.0,19.41971048
Africa,03/31/2020,508.0,23.0,21.838809399999995
Africa,04/01/2020,489.0,23.0,26.96381123
Africa,04/02/2020,622.0,35.0,38.63901917
Africa,04/03/2020,635.0,32.0,43.80138906
Africa,04/04/2020,625.0,49.0,45.17928536999999
Africa,04/05/2020,932.0,74.0,49.07037748999999
Africa,04/06/2020,735.0,55.0,52.732067820000005
Africa,04/07/2020,627.0,43.0,57.58003507999999
Africa,04/08/2020,722.0,45.0,63.15127891999999
Africa,04/09/2020,922.0,51.0,66.92786562
Africa,04/10/2020,834.0,57.0,68.80205169000001
Africa,04/11/2020,672.0,61.0,69.59309284999999
Africa,04/12/2020,714.0,52.0,74.48427167000001
Africa,04/13/2020,856.0,46.0,77.01486723000001
Africa,04/14/2020,769.0,46.0,82.97971818
Africa,04/15/2020,990.0,41.0,91.46312737999995
Africa,04/16/2020,962.0,35.0,108.14117923999997
Africa,04/17/2020,1086.0,54.0,123.30299328000001
Africa,04/18/2020,1568.0,51.0,141.91809748000006
Africa,04/19/2020,1160.0,41.0,140.00566926000002
Africa,04/20/2020,1246.0,63.0,151.21279345
Africa,04/21/2020,964.0,35.0,148.44369396
Africa,04/22/2020,1350.0,34.0,158.69505651
Africa,04/23/2020,1069.0,43.0,161.99031836999998
Africa,04/24/2020,1535.0,54.0,163.41075010000003
Africa,04/25/2020,1854.0,48.0,177.58997963999997
Africa,04/26/2020,1241.0,44.0,175.84015274999993
Africa,04/27/2020,1432.0,37.0,183.49032794999994
Africa,04/28/2020,1414.0,55.0,181.66599669999997
Africa,04/29/2020,1770.0,54.0,185.55999867000006
Africa,04/30/2020,1803.0,67.0,176.00547734999998
Africa,05/01/2020,2115.0,44.0,173.31695523999997
Africa,05/02/2020,1907.0,55.0,163.08606509
Africa,05/03/2020,2019.0,70.0,173.36440577999997
Africa,05/04/2020,1659.0,39.0,164.46065434000008
Africa,05/05/2020,2687.0,46.0,249.87826125
Africa,05/06/2020,2086.0,69.0,255.69732438
Africa,05/07/2020,2469.0,97.0,255.79860358999997
Africa,05/08/2020,2429.0,67.0,275.7712236100001
Africa,05/09/2020,3730.0,77.0,289.39208425
Africa,05/10/2020,2801.0,68.0,301.80287446
Africa,05/11/2020,2754.0,67.0,304.51384652
Africa,05/12/2020,3119.0,57.0,318.85646563999995
Africa,05/13/2020,2994.0,56.0,325.28442637
Africa,05/14/2020,3029.0,87.0,347.83334274000015
Africa,05/15/2020,3146.0,73.0,363.28843493000005
Africa,05/16/2020,2753.0,71.0,369.1140887800001
Africa,05/17/2020,3003.0,65.0,373.00757586000003
Africa,05/18/2020,3381.0,60.0,384.1399136800001
Africa,05/19/2020,3269.0,72.0,332.7045270900001
Africa,05/20/2020,3280.0,72.0,343.8087718500001
Africa,05/21/2020,3620.0,89.0,379.58802964
Africa,05/22/2020,4870.0,108.0,392.94702214999995
Africa,05/23/2020,3857.0,83.0,407.47792963999996
Africa,05/24/2020,4439.0,74.0,444.26909507
Africa,05/25/2020,3758.0,82.0,448.6125602200001
Africa,05/26/2020,3855.0,139.0,466.90577878999994
Africa,05/27/2020,3917.0,112.0,525.60500168
Africa,05/28/2020,4851.0,101.0,533.3759094799998
Africa,05/29/2020,4749.0,98.0,548.5023455799999
Africa,05/30/2020,5868.0,134.0,569.0308883700003
Africa,05/31/2020,6473.0,148.0,629.5982188500002
Africa,06/01/2020,5374.0,151.0,647.3557566700002
Africa,06/02/2020,5489.0,122.0,649.1462735800002
Africa,06/03/2020,4965.0,151.0,664.1870276799999
